title,release_date,genres,overview,spoken_languages,max_pre_release,max_post_release,auc_pre_release,slope_7_days_pre_release,release_day_interest,stddev_interest_pre_release,trend_skew,peak_trend_day_position,auc_post_peak,auc_post_release,trends_slope_post_peak,trends_day_7_value
Haunted Mansion,2023-07-26,"Fantasy, Comedy",A woman and her son enlist a motley crew of so-called spiritual experts to help rid their home of supernatural squatters.,English,27.0,100.0,304.5,2.0,33.0,5.549202716936081,1.614084334773568,3.0,735.0,928.5,-10.749999999999998,39.0
Do Not Disturb,2023-09-29,"Comedy, Drama","A middle-aged man emerges from a pandemic slump with a new job at a quiet hotel, until some eccentric guests turn his first night into a wild adventure.",Turkish,38.0,100.0,657.0,0.7499999999999998,69.0,2.1821789023599236,2.565414996908467,2.0,853.0,1035.5,-6.535714285714281,46.0
65,2023-03-02,"Science Fiction, Action, Adventure","65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet.",English,87.0,100.0,1328.5,3.1071428571428563,72.0,6.851518857712964,1.0128602026410753,9.0,986.5,1665.5,-2.357142857142857,83.0
Surviving My Quinceañera,2023-09-21,Comedy,"Quinceañeras, a magical age... except when your family wants to put you in a bulky dress and make you waltz in front of everyone, which is exactly what happens to Danae shortly after she transfers to a very proper private school.  Now Danae has to manage to balance the demands of her family, those of her new friends and organize a cool, but traditional, but modern, but emotional, but aesthetic, but also grandmother-pleasing Quinceañera party... without dying in the process.",Spanish,,,,,,,,,,,,
Crater,2023-05-12,"Science Fiction, Action, Adventure, Family","After the death of his father, a boy growing up on a lunar mining colony takes a trip to explore a legendary crater, along with his four best friends, prior to being permanently relocated to another planet.",English,47.0,100.0,764.5,0.5714285714285713,80.0,3.7307328163430276,1.8193795630658474,1.0,1124.0,1214.0,-8.214285714285712,57.0
Sheroes,2023-06-23,"Action, Comedy, Crime, Adventure","When four thick-as-thieves friends arrive in Thailand, they quickly find themselves in over their heads. Fighting to stay alive, they employ their unique set of skills and unleash their fierce loyalty in a heart-pumping battle for survival.",English,11.0,100.0,57.5,1.928571428571428,34.0,4.0579699581694655,1.055952491662752,5.0,818.0,1011.0,-3.2142857142857126,65.0
Theater Camp,2023-07-13,Comedy,"After the indomitable and beloved founder of a scrappy theater camp in upstate New York falls into a coma, the eccentric staff must band together with her clueless ""crypto-bro"" son to keep the thespian paradise afloat.",English,47.0,100.0,472.0,2.142857142857143,51.0,9.295843071647585,0.5764791275825353,2.0,1155.0,1329.5,-6.535714285714286,41.0
Mr. Car and the Knights Templar,2023-07-12,"Adventure, Drama, Family","A well-known art historian, treasure hunter and owner of an unusual car stumbles upon a Templar treasure, which is the key to a great power that can upset the balance of good and evil in the world. Supported by friendly scouts, Mr. Car starts a big race against time and a hostile organization, the stake of which is the heritage of knightly orders.",Polish,0.0,100.0,0.0,0.0,79.0,0.0,2.6809600366158,1.0,251.0,340.5,-14.178571428571427,0.0
Los Habitantes,2023-04-27,"Thriller, Horror",,Spanish,96.0,100.0,1302.5,2.714285714285714,80.0,14.840344593856276,-0.005875737939327543,4.0,1296.0,1588.0,-6.7142857142857135,90.0
The Communion Girl,2023-02-09,Horror,"May, 1987. While returning from a nightclub and after having taken drugs, new girl in town Sara and her friend Rebe find a doll wearing a communion dress. From that moment, their lives will become a living hell.",Spanish,0.0,100.0,0.0,0.0,0.0,0.0,6.326437348445771,15.0,50.0,100.0,-10.714285714285714,0.0
